model,seed,attack_condition,auc,tpr_at_fpr_5,clean_samples,attack_samples
smallcnn_standard,42,FGSM,0.9999999999999999,1.0,10000,10000
smallcnn_standard,42,PGD,0.9999999999999999,1.0,10000,10000
smallcnn_standard,42,ALL_ATTACKS,1.0,1.0,10000,20000
smallcnn_fgsm_at,42,FGSM,0.9999999999999999,1.0,10000,10000
smallcnn_fgsm_at,42,PGD,1.0,1.0,10000,10000
smallcnn_fgsm_at,42,ALL_ATTACKS,1.0,1.0,10000,20000
smallcnn_standard,123,FGSM,1.0,1.0,10000,10000
smallcnn_standard,123,PGD,0.9999998699999999,1.0,10000,10000
smallcnn_standard,123,ALL_ATTACKS,0.9999999350000001,1.0,10000,20000
smallcnn_fgsm_at,123,FGSM,0.9999999999999999,1.0,10000,10000
smallcnn_fgsm_at,123,PGD,0.9999999999999999,1.0,10000,10000
smallcnn_fgsm_at,123,ALL_ATTACKS,1.0,1.0,10000,20000
smallcnn_standard,2026,FGSM,0.9999999999999999,1.0,10000,10000
smallcnn_standard,2026,PGD,0.9999992499999999,1.0,10000,10000
smallcnn_standard,2026,ALL_ATTACKS,0.999999625,1.0,10000,20000
smallcnn_fgsm_at,2026,FGSM,1.0,1.0,10000,10000
smallcnn_fgsm_at,2026,PGD,0.9999985499999999,1.0,10000,10000
smallcnn_fgsm_at,2026,ALL_ATTACKS,0.9999992750000001,1.0,10000,20000
