model,architecture,training,attack,epsilon,robust_accuracy_mean,robust_accuracy_std,attack_success_rate_mean,attack_success_rate_std
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.0,0.9751666666666666,0.003629508690350938,0.024833333333333266,0.003629508690350929
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.05,0.8504666666666667,0.18751267512713196,0.1495333333333333,0.187512675127132
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.1,0.8688333333333333,0.10813918500401844,0.1311666666666666,0.10813918500401844
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.15,0.8980666666666667,0.012924524491575428,0.10193333333333332,0.012924524491575435
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.2,0.9058666666666667,0.03392290278459865,0.09413333333333333,0.03392290278459869
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.25,0.8756666666666666,0.05040082671279648,0.12433333333333328,0.050400826712796484
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.3,0.793,0.07136742954597702,0.20699999999999993,0.07136742954597702
lenet_standard,lenet,standard,FGSM,0.0,0.9834666666666667,0.000945163125250444,0.016533333333333265,0.000945163125250483
lenet_standard,lenet,standard,FGSM,0.05,0.8771999999999999,0.0031606961258558055,0.1228,0.0031606961258558116
lenet_standard,lenet,standard,FGSM,0.1,0.5780666666666666,0.030167753203268845,0.42193333333333327,0.03016775320326882
lenet_standard,lenet,standard,FGSM,0.15,0.2537333333333333,0.044444384722182095,0.7462666666666666,0.04444438472218207
lenet_standard,lenet,standard,FGSM,0.2,0.08779999999999999,0.020517309765171455,0.9122,0.0205173097651714
lenet_standard,lenet,standard,FGSM,0.25,0.0281,0.011174524598388965,0.9719000000000001,0.011174524598389
lenet_standard,lenet,standard,FGSM,0.3,0.0083,0.004253234063627348,0.9916999999999999,0.004253234063627357
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.0,0.9919333333333333,0.0003055050463303557,0.008066666666666633,0.00030550504633033526
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.05,0.9847,0.003553871128783365,0.015299999999999933,0.0035538711287833413
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.1,0.9814333333333334,0.007878028518184838,0.0185666666666666,0.007878028518184766
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.15,0.9791666666666666,0.011750035460939385,0.0208333333333333,0.011750035460939454
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.2,0.9765,0.01544765354349972,0.023499999999999934,0.015447653543499756
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.25,0.9664666666666667,0.02318627467562076,0.033533333333333235,0.023186274675620778
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.3,0.8306,0.17721876311497042,0.16939999999999997,0.17721876311497045
smallcnn_standard,smallcnn,standard,FGSM,0.0,0.9925333333333333,0.0010066445913694529,0.007466666666666601,0.0010066445913694405
smallcnn_standard,smallcnn,standard,FGSM,0.05,0.9596333333333332,0.008809275414773499,0.04036666666666667,0.00880927541477353
smallcnn_standard,smallcnn,standard,FGSM,0.1,0.8591000000000001,0.035952607694018576,0.14089999999999994,0.03595260769401859
smallcnn_standard,smallcnn,standard,FGSM,0.15,0.6636333333333333,0.08577763888877646,0.3363666666666667,0.08577763888877646
smallcnn_standard,smallcnn,standard,FGSM,0.2,0.44106666666666666,0.07930071458274089,0.5589333333333334,0.07930071458274084
smallcnn_standard,smallcnn,standard,FGSM,0.25,0.28696666666666665,0.05248050431668254,0.7130333333333333,0.052480504316682566
smallcnn_standard,smallcnn,standard,FGSM,0.3,0.2142333333333333,0.04009991687439429,0.7857666666666666,0.04009991687439432
