model,architecture,training,attack,epsilon,seed,evaluated_samples,robust_accuracy,attack_success_rate,runtime_seconds,device
lenet_standard,lenet,standard,FGSM,0.0,42,10000,0.9824,0.01759999999999995,1.5258066000023973,cpu
lenet_standard,lenet,standard,FGSM,0.05,42,10000,0.8802,0.11980000000000002,3.4000333000003593,cpu
lenet_standard,lenet,standard,FGSM,0.1,42,10000,0.566,0.43400000000000005,3.2550330000012764,cpu
lenet_standard,lenet,standard,FGSM,0.15,42,10000,0.2461,0.7539,3.161536599996907,cpu
lenet_standard,lenet,standard,FGSM,0.2,42,10000,0.0778,0.9222,2.9417376999990665,cpu
lenet_standard,lenet,standard,FGSM,0.25,42,10000,0.0214,0.9786,3.4024876999974367,cpu
lenet_standard,lenet,standard,FGSM,0.3,42,10000,0.0068,0.9932,2.9680146999962744,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.0,42,10000,0.9924,0.007600000000000051,7.012604700001248,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.05,42,10000,0.9496,0.0504,19.945574399993347,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.1,42,10000,0.8176,0.1824,20.355751600000076,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.15,42,10000,0.5646,0.4354,20.382697799999733,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.2,42,10000,0.3502,0.6497999999999999,20.214128300001903,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.25,42,10000,0.2285,0.7715,20.275633400000515,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.3,42,10000,0.1726,0.8274,20.28550499999983,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.0,42,10000,0.9725,0.02749999999999997,1.6256398999976227,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.05,42,10000,0.634,0.366,3.028565200002049,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.1,42,10000,0.7445,0.25549999999999995,3.150131499998679,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.15,42,10000,0.8873,0.11270000000000002,3.069392400000652,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.2,42,10000,0.941,0.05900000000000005,3.0945456999979797,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.25,42,10000,0.9201,0.07989999999999997,2.970819299996947,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.3,42,10000,0.8684,0.13160000000000005,3.099178900003608,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.0,42,10000,0.992,0.008000000000000007,6.935445000002801,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.05,42,10000,0.9869,0.0131,20.307194799999706,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.1,42,10000,0.9798,0.020199999999999996,20.556303599994862,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.15,42,10000,0.9741,0.025900000000000034,20.633762000004936,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.2,42,10000,0.9712,0.028800000000000048,20.68183699999645,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.25,42,10000,0.9616,0.03839999999999999,20.38052500000049,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.3,42,10000,0.6311,0.3689,20.15653200000088,cpu
lenet_standard,lenet,standard,FGSM,0.0,123,10000,0.9842,0.015800000000000036,1.5349157999953604,cpu
lenet_standard,lenet,standard,FGSM,0.05,123,10000,0.8739,0.1261,3.254886599999736,cpu
lenet_standard,lenet,standard,FGSM,0.1,123,10000,0.5558,0.44420000000000004,3.709556000001612,cpu
lenet_standard,lenet,standard,FGSM,0.15,123,10000,0.2136,0.7864,3.4925654999969993,cpu
lenet_standard,lenet,standard,FGSM,0.2,123,10000,0.0742,0.9258,3.282949300002656,cpu
lenet_standard,lenet,standard,FGSM,0.25,123,10000,0.0219,0.9781,3.602877299999818,cpu
lenet_standard,lenet,standard,FGSM,0.3,123,10000,0.005,0.995,3.5428108999985852,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.0,123,10000,0.9936,0.006399999999999961,7.460186199998134,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.05,123,10000,0.9661,0.03390000000000004,20.284195100000943,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.1,123,10000,0.8808,0.11919999999999997,20.357106899995415,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.15,123,10000,0.7117,0.2883,20.275513599997794,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.2,123,10000,0.4963,0.5037,20.30123789999925,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.25,123,10000,0.33,0.6699999999999999,20.07980380000663,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.3,123,10000,0.2526,0.7474000000000001,19.97269360000064,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.0,123,10000,0.9793,0.02070000000000005,1.505819199999678,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.05,123,10000,0.9629,0.03710000000000002,3.165553300001193,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.1,123,10000,0.941,0.05900000000000005,3.3963985000009416,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.15,123,10000,0.9124,0.08760000000000001,4.03981449999992,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.2,123,10000,0.8733,0.12670000000000003,3.494091500004288,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.25,123,10000,0.8209,0.17910000000000004,3.544314700004179,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.3,123,10000,0.7265,0.27349999999999997,4.038484900003823,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.0,123,10000,0.9916,0.008399999999999963,7.601248500002839,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.05,123,10000,0.9806,0.019399999999999973,20.300718600003165,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.1,123,10000,0.9745,0.025499999999999967,19.961571699997876,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.15,123,10000,0.9708,0.029200000000000004,20.418244499996945,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.2,123,10000,0.9644,0.035599999999999965,20.139955700004066,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.25,123,10000,0.9461,0.05389999999999995,19.674353800000972,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.3,123,10000,0.8909,0.10909999999999997,19.881268699995417,cpu
lenet_standard,lenet,standard,FGSM,0.0,2026,10000,0.9838,0.016199999999999992,1.6001329999999143,cpu
lenet_standard,lenet,standard,FGSM,0.05,2026,10000,0.8775,0.12250000000000005,3.400528600002872,cpu
lenet_standard,lenet,standard,FGSM,0.1,2026,10000,0.6124,0.38759999999999994,3.6024754000100074,cpu
lenet_standard,lenet,standard,FGSM,0.15,2026,10000,0.3015,0.6985,3.6408212000096682,cpu
lenet_standard,lenet,standard,FGSM,0.2,2026,10000,0.1114,0.8886000000000001,3.4193250999960583,cpu
lenet_standard,lenet,standard,FGSM,0.25,2026,10000,0.041,0.959,3.3129183999990346,cpu
lenet_standard,lenet,standard,FGSM,0.3,2026,10000,0.0131,0.9869,3.6626224999927217,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.0,2026,10000,0.9916,0.008399999999999963,7.40059370000381,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.05,2026,10000,0.9632,0.036800000000000055,20.057443900004728,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.1,2026,10000,0.8789,0.12109999999999999,21.04522359999828,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.15,2026,10000,0.7146,0.2854,20.296855299995514,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.2,2026,10000,0.4767,0.5233,20.725001899991184,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.25,2026,10000,0.3024,0.6976,21.078659599996172,cpu
smallcnn_standard,smallcnn,standard,FGSM,0.3,2026,10000,0.2175,0.7825,20.58061560000351,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.0,2026,10000,0.9737,0.02629999999999999,1.870021300012013,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.05,2026,10000,0.9545,0.045499999999999985,3.275742400001036,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.1,2026,10000,0.921,0.07899999999999996,3.9196723999921232,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.15,2026,10000,0.8945,0.10550000000000004,3.911814500010223,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.2,2026,10000,0.9033,0.09670000000000001,3.8318289000017103,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.25,2026,10000,0.886,0.11399999999999999,3.7535424000088824,cpu
lenet_fgsm_at,lenet,fgsm_at,FGSM,0.3,2026,10000,0.7841,0.21589999999999998,3.8549237999977777,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.0,2026,10000,0.9922,0.007800000000000029,7.459534800000256,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.05,2026,10000,0.9866,0.013399999999999967,20.885456000003614,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.1,2026,10000,0.99,0.010000000000000009,21.372619600006146,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.15,2026,10000,0.9926,0.007399999999999962,21.488357800000813,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.2,2026,10000,0.9939,0.006099999999999994,21.02227899999707,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.25,2026,10000,0.9917,0.008299999999999974,21.583528199989814,cpu
smallcnn_fgsm_at,smallcnn,fgsm_at,FGSM,0.3,2026,10000,0.9698,0.030200000000000005,21.41643820000172,cpu
