model,architecture,training,attack,epsilon,pgd_steps,pgd_restarts,pgd_alpha,pgd_random_start,seed,evaluated_samples,robust_accuracy,attack_success_rate,runtime_seconds,device,test_subset
lenet_standard,lenet,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,42,10000,0.0014,0.9986,20.0509577000048,cuda,10000
smallcnn_standard,smallcnn,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,42,10000,0.0027,0.9973,44.29176230006851,cuda,10000
lenet_fgsm_at,lenet,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,42,10000,0.0201,0.9799,19.741677300073206,cuda,10000
smallcnn_fgsm_at,smallcnn,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,42,10000,0.1661,0.8339,44.3280363001395,cuda,10000
lenet_standard,lenet,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,123,10000,0.0032,0.9968,19.355940999928862,cuda,10000
smallcnn_standard,smallcnn,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,123,10000,0.0086,0.9914,44.41452749981545,cuda,10000
lenet_fgsm_at,lenet,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,123,10000,0.331,0.669,19.5891879000701,cuda,10000
smallcnn_fgsm_at,smallcnn,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,123,10000,0.0,1.0,44.469616199843585,cuda,10000
lenet_standard,lenet,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,2026,10000,0.0108,0.9892,19.838323400123045,cuda,10000
smallcnn_standard,smallcnn,standard,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,2026,10000,0.0004,0.9996,44.43435060000047,cuda,10000
lenet_fgsm_at,lenet,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,2026,10000,0.0188,0.9812,20.30776120000519,cuda,10000
smallcnn_fgsm_at,smallcnn,fgsm_at,PGD_LINF_RESTARTS,0.25,20,5,0.0125,True,2026,10000,0.0,1.0,44.4855861000251,cuda,10000
