source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
lenet_standard,lenet_standard,standard,standard,FGSM,0.0,42,10000,9824,0.9824,0.01759999999999995,0.0,0.6543538999903831,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.0,42,10000,9797,0.9924,0.007600000000000051,0.0,11.378356000022904,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,42,10000,9638,0.9725,0.02749999999999997,0.0,0.7326511000355822,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,42,10000,9801,0.992,0.008000000000000007,0.0,11.541147800038743,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.0,42,10000,9797,0.9824,0.01759999999999995,0.0,0.7229472000399255,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.0,42,10000,9924,0.9924,0.007600000000000051,0.0,11.407396499969764,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.0,42,10000,9690,0.9725,0.02749999999999997,0.0,0.7190894000304979,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,42,10000,9873,0.992,0.008000000000000007,0.0,11.471869100016193,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,42,10000,9638,0.9824,0.01759999999999995,0.0,0.6630699000015738,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,42,10000,9690,0.9924,0.007600000000000051,0.0,11.3928731999913,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,42,10000,9725,0.9725,0.02749999999999997,0.0,0.7294276000393438,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,42,10000,9688,0.992,0.008000000000000007,0.0,11.527911200035305,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.0,42,10000,9801,0.9824,0.01759999999999995,0.0,0.7303657999800635,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.0,42,10000,9873,0.9924,0.007600000000000051,0.0,11.404237899994769,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,42,10000,9688,0.9725,0.02749999999999997,0.0,0.7153549999784445,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.0,42,10000,9920,0.992,0.008000000000000007,0.0,11.502342400010093,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.05,42,10000,9824,0.8802,0.11980000000000002,0.10403094462540717,2.1499279999625287,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.05,42,10000,9797,0.9869,0.0131,0.00418495457793202,13.054723799948988,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,42,10000,9638,0.6414,0.35860000000000003,0.34125337206889395,2.173531899956288,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.05,42,10000,9801,0.9907,0.009299999999999975,0.0009182736455463728,13.320319399972504,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.05,42,10000,9797,0.9771,0.02290000000000003,0.005103603143819537,12.981046300017624,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.05,42,10000,9924,0.9496,0.0504,0.04312777106005643,24.322173799970187,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.05,42,10000,9690,0.5979,0.4021,0.3867905056759546,13.002753399974608,cpu
